original,es,emoji,uk,ru,de,it,fr,pt,zh-cn,th,ja,ko,ar,hi,bn,id,ur,vi,tr,fa,rw,ta
Getting Started,Empezando,,Початок,Начиная,Erste Schritte,Iniziare,Commencer,Começando,入门,เริ่มต้น,はじめる,시작하기,ابدء,शुरू करना,শুরু করা,Memulai,شروع کرنا,Bắt đầu,Başlarken,شروع,Gutangira,தொடங்குதல்
"* Open the Main Menu\n* Select your goal\n* Tap ""Record""","* Abra el menú principal\n* Seleccione su objetivo\n* Toque ""Registro""",,"* Відкрийте головне меню\n* Виберіть свою мету\n* Натисніть ""запис""",* Откройте главное меню\n* Выберите свою цель\n* Нажмите «Запись»,"* Öffnen Sie das Hauptmenü\n* Wählen Sie Ihr Ziel aus\n* Tippen Sie auf ""Datensatz""","* Apri il menu principale\n* Seleziona il tuo obiettivo\n* Tocca ""Registra""","* Ouvrez le menu principal\n* Sélectionnez votre objectif\n* Appuyez sur ""Enregistrer""","* Abra o menu principal\n* Selecione seu objetivo\n* Toque em ""Record""",*打开主菜单\n*选择您的目标\n*点击“记录”,"* เปิดเมนูหลัก\n* เลือกเป้าหมายของคุณ\n* แตะ ""บันทึก""",*メインメニューを開きます\n*目標を選択します\n*「レコード」をタップする,"* 메인 메뉴를 엽니 다\n* 목표를 선택하십시오\n* ""레코드""탭","* افتح القائمة الرئيسية\n* حدد هدفك\n* اضغط على ""سجل""","* मुख्य मेनू खोलें\n* अपने लक्ष्य का चयन करें\n* ""रिकॉर्ड"" पर टैप करें","* মূল মেনু খুলুন\n* আপনার লক্ষ্য নির্বাচন করুন\n* ""রেকর্ড"" আলতো চাপুন","* Buka menu utama\n* Pilih tujuan Anda\n* Ketuk ""Rekam""","* مین مینو کھولیں\n* اپنا مقصد منتخب کریں\n* ""ریکارڈ"" پر ٹیپ کریں","* Mở menu chính\n* Chọn mục tiêu của bạn\n* Nhấn ""Bản ghi""","* Ana menüyü açın\n* Hedefinizi seçin\n* ""Kayıt"" ı dokunun","* منوی اصلی را باز کنید\n* هدف خود را انتخاب کنید\n* روی ""ضبط"" ضربه بزنید","* Fungura menu nkuru\n* Hitamo intego yawe\n* Kanda ""Inyandiko""","* பிரதான மெனுவைத் திறக்கவும்\n* உங்கள் இலக்கைத் தேர்ந்தெடுக்கவும்\n* ""பதிவு"" என்பதைத் தட்டவும்"
Developers,Desarrolladores,,Розробники,Разработчики,Entwickler,Sviluppatori,Développeurs,Desenvolvedores,开发人员,ผู้พัฒนา,開発者,개발자,المطورين,डेवलपर्स,বিকাশকারী,Pengembang,ڈویلپرز,Nhà phát triển,Geliştiriciler,توسعه دهنده,Abashinzwe iterambere,டெவலப்பர்கள்
Open Audio Tools is developed by:\n\n   * Ketaslava Ket\n   * KTVINCCO Team,Las herramientas de audio abiertas son desarrolladas por:\n\n   * Ketaslava Ket\n   * Equipo de Ktvincco,,Відкриті аудіоінструменти розробляються:\n\n   * Ketaslava Ket\n   * Команда Ktvincco,Открытые аудио инструменты разработаны:\n\n   * Кетаслава Кет\n   * Команда Ktvincco,Offene Audio -Tools werden entwickelt von:\n\n   * Ketaslava Ket\n   * KTVINCCO -Team,Strumenti audio aperti è sviluppato da:\n\n   * Ketaslava ket\n   * Team KtVccocco,Les outils audio ouverts sont développés par:\n\n   * Ketaslava Ket\n   * Équipe Ktvincco,O Open Audio Tools é desenvolvido por:\n\n   * Ketaslava Ket\n   * Equipe Ktvincco,开放音频工具是：\n\n   * Ketaslava Ket\n   * KTVINCCO团队,Open Audio Tools ได้รับการพัฒนาโดย:\n\n   * Ketaslava Ket\n   * ทีม KTVINCCO,オープンオーディオツールは次のように開発されています。\n\n   * Ketaslava Ket\n   * KTVINCCOチーム,오픈 오디오 도구는 다음과 같이 개발됩니다.\n\n   * Ketaslava Ket\n   * KTVINCCO 팀,تم تطوير أدوات الصوت المفتوحة بواسطة:\n\n   * كيتاسلافا كيت\n   * فريق Ktvincco,ओपन ऑडियो टूल द्वारा विकसित किया गया है:\n\n   * केतस्लावा केट\n   * Ktvincco टीम,ওপেন অডিও সরঞ্জামগুলি দ্বারা বিকাশ করা হয়েছে:\n\n   * কেটস্লাভা কেট\n   * কেটিভিনকো দল,Alat audio terbuka dikembangkan oleh:\n\n   * Ketaslava Ket\n   * Tim Ktvincco,اوپن آڈیو ٹولز تیار کیے گئے ہیں:\n\n   * کیتاسلاوا کیٹ\n   * Ktvincco ٹیم,Công cụ âm thanh mở được phát triển bởi:\n\n   * Ketaslava Ket\n   * Đội Ktvincco,Açık ses araçları aşağıdakiler tarafından geliştirilmiştir:\n\n   * Ketaslava ket\n   * Ktvincco ekibi,ابزارهای صوتی باز توسط:\n\n   * کت کتاسلاوا\n   * تیم Ktvincco,Gufungura ibikoresho byamajwi byateguwe na:\n\n   * Ketaslava ket\n   Itsinda rya KTvincco,திறந்த ஆடியோ கருவிகள் உருவாக்கியுள்ளன:\n\n   * கெட்டஸ்லாவா கெட்\n   * Ktvincco குழு
Suggestions & Feedback,Sugerencias y comentarios,,Пропозиції та відгуки,Предложения и обратная связь,Vorschläge & Feedback,Suggerimenti e feedback,Suggestions et commentaires,Sugestões e feedback,建议和反馈,ข้อเสนอแนะและข้อเสนอแนะ,提案とフィードバック,제안 및 피드백,الاقتراحات والتعليقات,सुझाव और प्रतिक्रिया,পরামর্শ এবং প্রতিক্রিয়া,Saran & Umpan Balik,تجاویز اور آراء,Gợi ý & Phản hồi,Öneriler ve Geribildirim,پیشنهادات و بازخورد,Ibyifuzo & Ibitekerezo,பரிந்துரைகள் மற்றும் கருத்து
Got an idea or feature request? We're always looking for ways to improve! Send your suggestions to us!,¿Tienes una idea o solicitud de función? ¡Siempre estamos buscando formas de mejorar! ¡Envíenos sus sugerencias!,,Є ідея чи запит на функцію? Ми завжди шукаємо способи вдосконалення! Надішліть нам свої пропозиції!,Есть идея или запрос функции? Мы всегда ищем способы улучшения! Отправьте нам свои предложения!,"Haben Sie eine Idee oder eine Funktionsanfrage? Wir suchen immer nach Möglichkeiten, sich zu verbessern! Senden Sie uns Ihre Vorschläge!",Hai un'idea o una richiesta di funzionalità? Siamo sempre alla ricerca di modi per migliorare! Inviaci i tuoi suggerimenti!,Vous avez une idée ou une demande de fonctionnalité? Nous recherchons toujours des moyens de nous améliorer! Envoyez-nous vos suggestions!,Tem uma ideia ou solicitação de recurso? Estamos sempre procurando maneiras de melhorar! Envie suas sugestões para nós!,有想法或功能请求吗？我们一直在寻找改进的方法！ Send your suggestions to us!,มีความคิดหรือคำขอคุณสมบัติหรือไม่? เรามักจะมองหาวิธีปรับปรุง! ส่งคำแนะนำของคุณมาให้เรา!,アイデアまたは機能のリクエストがありますか？私たちは常に改善する方法を探しています！あなたの提案を私たちに送ってください！,아이디어 나 기능 요청이 있습니까? 우리는 항상 개선 방법을 찾고 있습니다! 귀하의 제안을 우리에게 보내십시오!,هل لديك فكرة أو طلب ميزة؟ نحن نبحث دائمًا عن طرق للتحسين! أرسل اقتراحاتك إلينا!,एक विचार या सुविधा अनुरोध मिला? हम हमेशा सुधार करने के तरीकों की तलाश कर रहे हैं! अपने सुझाव हमें भेजें!,একটি ধারণা বা বৈশিষ্ট্য অনুরোধ পেয়েছেন? আমরা সবসময় উন্নতির উপায় খুঁজছি! আপনার পরামর্শ আমাদের প্রেরণ করুন!,Punya permintaan atau permintaan fitur? Kami selalu mencari cara untuk meningkatkan! Kirimkan saran Anda kepada kami!,کوئی آئیڈیا یا خصوصیت کی درخواست ہے؟ ہم ہمیشہ بہتری لانے کے طریقے تلاش کرتے ہیں! اپنی تجاویز ہمیں بھیجیں!,Có một ý tưởng hoặc yêu cầu tính năng? Chúng tôi luôn tìm cách cải thiện! Gửi đề xuất của bạn cho chúng tôi!,Bir fikrin veya özellik isteğiniz mi var? Her zaman iyileştirmenin yollarını arıyoruz! Önerilerinizi bize gönderin!,ایده یا درخواست ویژگی دارید؟ ما همیشه به دنبال راه هایی برای بهبود هستیم! پیشنهادات خود را برای ما ارسال کنید!,Yabonye igitekerezo cyangwa icyifuzo? Twama dushakisha uburyo bwo kunoza! Ohereza inama zawe!,ஒரு யோசனை அல்லது அம்ச கோரிக்கை கிடைத்ததா? நாங்கள் எப்போதும் மேம்படுத்துவதற்கான வழிகளைத் தேடுகிறோம்! உங்கள் பரிந்துரைகளை எங்களுக்கு அனுப்புங்கள்!
Contact Us,Contáctenos,,Зв’яжіться з нами,Связаться с нами,Kontaktieren Sie uns,Contattaci,Contactez-nous,Contate-nos,联系我们,ติดต่อเรา,お問い合わせ,저희에게 연락하십시오,اتصل بنا,हमसे संपर्क करें,আমাদের সাথে যোগাযোগ করুন,Hubungi kami,ہم سے رابطہ کریں,Liên hệ với chúng tôi,Bize Ulaşın,با ما تماس بگیرید,Twandikire,எங்களைத் தொடர்பு கொள்ளுங்கள்
"Communication:\n\n   * Email: ktvincco@gmail.com\n   * BlueSky: @ketaslava.bsky.social  (Preferred)\n\nJoin the Community:\n\n   * YouTube: @ketaslava, @ktvincco_production\n   * Instagram: @ketaslava, @ktvincco\n   * Telegram: @ketaslavaket, @ktvincco_production","Comunicación:\n\n   * Correo electrónico: ktvincco@gmail.com\n   * Bluesky: @ketaslava.bsky.social (preferido)\n\nÚnete a la comunidad:\n\n   * YouTube: @ketaslava, @ktvincco_production\n   * Instagram: @ketaslava, @ktvincco\n   * Telegram: @ketaslavaket, @ktvincco_production",,"Спілкування:\n\n   * Електронна пошта: ktvincco@gmail.com\n   * BlueSky: @ketaslava.bsky.social (бажаний)\n\nПриєднуйтесь до спільноти:\n\n   * Youtube: @ketaslava, @ktvincco_production\n   * Instagram: @ketaslava, @ktvincco\n   * Telegram: @ketaslavaket, @ktvincco_production","Коммуникация:\n\n   * Электронная почта: ktvincco@gmail.com\n   * Bluesky: @ketaslava.bsky.social (предпочтительнее)\n\nПрисоединяйтесь к сообществу:\n\n   * Youtube: @ketaslava, @ktvincco_production\n   * Instagram: @ketaslava, @ktvincco\n   * Telegram: @ketaslavaket, @ktvincco_production","Kommunikation:\n\n   * E -Mail: ktvincco@gmail.com\n   * Bluesky: @ketaslava.bsky.social (bevorzugt)\n\nTreten Sie der Community bei:\n\n   * YouTube: @ketaslava, @KTVinCCO_Production\n   * Instagram: @ketaslava, @ktvincco\n   * Telegramm: @ketaslavaket, @KTVinCCO_Production","Comunicazione:\n\n   * Email: ktvincco@gmail.com\n   * Bluesky: @ketaslava.bsky.social (preferito)\n\nUnisciti alla comunità:\n\n   * YouTube: @ketaslava, @ktvincco_production\n   * Instagram: @ketaslava, @ktvcco\n   * Telegram: @ketaslavaket, @ktvcco_production","Communication:\n\n   * Courriel: ktvincco@gmail.com\n   * Bluesky: @ ketaslava.bsky.social (préféré)\n\nRejoignez la communauté:\n\n   * YouTube: @ketaslava, @ktvincco_production\n   * Instagram: @ketaslava, @ktvincco\n   * Télégramme: @ketaslavaKet, @ktvincco_production","Comunicação:\n\n   * E -mail: ktvincco@gmail.com\n   * Bluesky: @ketaslava.bsky.social (preferido)\n\nJunte -se à comunidade:\n\n   * YouTube: @ketaslava, @ktvincco_production\n   * Instagram: @ketaslava, @ktvincco\n   * Telegram: @ketaslavaket, @ktvincco_production",沟通：\n\n   *电子邮件：ktvincco@gmail.com\n   * Bluesky： @ketaslava.bsky.social（首选）\n\n加入社区：\n\n   * YouTube：@ketaslava，@ktvincco_production\n   * Instagram：@ketaslava，@ktvincco\n   *电报：@ketaslavaket，@ktvincco_production,"การสื่อสาร:\n\n   * อีเมล: ktvincco@gmail.com\n   * bluesky: @ketaslava.bsky.social (ต้องการ)\n\nเข้าร่วมชุมชน:\n\n   * youtube: @ketaslava, @ktvincco_production\n   * Instagram: @ketaslava, @ktvincco\n   * Telegram: @ketaslavaket, @ktvincco_production",コミュニケーション：\n\n   *電子メール：ktvincco@gmail.com\n   * Bluesky： @Ketaslava.bsky.social（優先）\n\nコミュニティに参加：\n\n   * YouTube：@ketaslava、@ktvincco_production\n   * Instagram：@ketaslava、@ktvincco\n   * Telegram：@ketaslavaket、@ktvincco_production,"의사소통:\n\n   * 이메일 : ktvincco@gmail.com\n   * 블루스키 : @ketaslava.bsky.social (선호)\n\n커뮤니티에 가입하십시오 :\n\n   * YouTube : @ketaslava, @ktvincco_production\n   * Instagram : @ketaslava, @ktvincco\n   * Telegram : @ketaslavaket, @ktvincco_production",تواصل:\n\n   * البريد الإلكتروني: ktvincco@gmail.com\n   * Bluesky: @ketaslava.bsky.social (المفضل)\n\nانضم إلى المجتمع:\n\n   * youtube: ketaslava ، ktvincco_production\n   * Instagram: ketaslava ، @ktvincco\n   * telegram: ketaslavaket ، ktvincco_production,"संचार:\n\n   * ईमेल: ktvincco@gmail.com\n   * ब्लूस्की: @ketaslava.bsky.social (पसंदीदा)\n\nसमुदाय में शामिल हों:\n\n   * YouTube: @ketaslava, @ktvincco_production\n   * Instagram: @ketaslava, @ktvincco\n   * टेलीग्राम: @ketaslavaket, @ktvincco_production","যোগাযোগ:\n\n   * ইমেল: ktvincco@gmail.com\n   * ব্লুস্কি: @কেটাস্লাভা.বিএসকি.সোকিয়াল (পছন্দসই)\n\nসম্প্রদায়ের সাথে যোগ দিন:\n\n   * ইউটিউব: @কেটস্লাভা, @কেটিভিনকো_প্রোডাকশন\n   * ইনস্টাগ্রাম: @কেটস্লাভা, @কেটিভিনকো\n   * টেলিগ্রাম: @কেটস্লাভাকেট, @কেটিভিনকো_প্রোডাকশন","Komunikasi:\n\n   * Email: ktvincco@gmail.com\n   * Bluesky: @ketaslava.bsky.social (lebih disukai)\n\nBergabunglah dengan komunitas:\n\n   * Youtube: @ketaslava, @ktvincco_production\n   * Instagram: @ketaslava, @ktvincco\n   * Telegram: @ketaslavaket, @ktvincco_production",مواصلات:\n\n   * ای میل: ktvincco@gmail.com\n   * بلوزکی: @ketaslava.bsky.social (ترجیحی)\n\nبرادری میں شامل ہوں:\n\n   * یوٹیوب: @کیٹاسلاوا ، ktvincco_production\n   * انسٹاگرام: @کیٹاسلاوا ، ktvincco\n   * ٹیلیگرام: @کیٹاسلاواکیٹ ، ktvincco_production,"Giao tiếp:\n\n   * Email: ktvincco@gmail\n   * Bluesky: @ketaslava.bsky.social (ưa thích)\n\nTham gia cộng đồng:\n\n   * YouTube: @ketaslava, @ktvincco_production\n   * Instagram: @ketaslava, @ktvincco\n   * Telegram: @ketaslavaket, @ktvincco_production","İletişim:\n\n   * E -posta: ktvincco@gmail.com\n   * Bluesky: @ketaslava.bsky.social (tercih edilen)\n\nTopluluğa katılın:\n\n   * Youtube: @ketaslava, @ktvincco_production\n   * Instagram: @ketaslava, @Ktvincco\n   * Telgraf: @ketaslavaket, @ktvincco_production",ارتباطات:\n\n   * ایمیل: ktvincco@gmail.com\n   * Bluesky: @ketaslava.bsky.social (ترجیحی)\n\nبه جامعه بپیوندید:\n\n   * یوتیوب: ketaslava ، ktvincco_production\n   * اینستاگرام: ketaslava ، ktvincco\n   * تلگرام: ketaslavaket ، ktvincco_production,"Itumanaho:\n\n   * Imeri: Ktvincco@gmail.com\n   * Bluesky: @ Ketaslava.bsky.Social (ukunda)\n\nInjira mu baturage:\n\n   * YouTube: @Kasheslava, @ktvincco_byiciro\n   * Instagram: @ketlava, @ktvincco\n   * Telegaramu: @KasiVaket, @ktvincco_byiciro","தொடர்பு:\n\n   * மின்னஞ்சல்: ktvincco@gmail.com\n   * ப்ளூஸ்கி: @ketaslava.bsky.social (விருப்பமானது)\n\nசமூகத்தில் சேரவும்:\n\n   * YouTube: @ketaslava, @ktvincco_production\n   * இன்ஸ்டாகிராம்: @ketaslava, @ktvincco\n   * தந்தி: @ketaslavaket, @ktvincco_production"
"If you want to change your voice, this app is here to help you achieve your goals. Follow these steps to get the best results:","Si desea cambiar su voz, esta aplicación está aquí para ayudarlo a alcanzar sus objetivos. Siga estos pasos para obtener los mejores resultados:",,"Якщо ви хочете змінити свій голос, цей додаток тут, щоб допомогти вам досягти своїх цілей. Виконайте ці кроки, щоб отримати найкращі результати:","Если вы хотите изменить свой голос, это приложение здесь, чтобы помочь вам достичь ваших целей. Следуйте этим шагам, чтобы получить наилучшие результаты:","Wenn Sie Ihre Stimme ändern möchten, ist diese App hier, um Ihnen dabei zu helfen, Ihre Ziele zu erreichen. Befolgen Sie diese Schritte, um die besten Ergebnisse zu erzielen:","Se vuoi cambiare la tua voce, questa app è qui per aiutarti a raggiungere i tuoi obiettivi. Segui questi passaggi per ottenere i migliori risultati:","Si vous souhaitez changer votre voix, cette application est là pour vous aider à atteindre vos objectifs. Suivez ces étapes pour obtenir les meilleurs résultats:","Se você deseja mudar sua voz, este aplicativo está aqui para ajudá -lo a alcançar seus objetivos. Siga estas etapas para obter os melhores resultados:",如果您想更改声音，此应用程序在这里可以帮助您实现目标。按照以下步骤获得最佳结果：,หากคุณต้องการเปลี่ยนเสียงแอพนี้อยู่ที่นี่เพื่อช่วยให้คุณบรรลุเป้าหมาย ทำตามขั้นตอนเหล่านี้เพื่อให้ได้ผลลัพธ์ที่ดีที่สุด:,声を変えたい場合は、このアプリがあなたの目標を達成するのに役立つためにここにあります。これらの手順に従って、最良の結果を得るには：,목소리를 바꾸고 싶다면이 앱이 목표를 달성하는 데 도움이됩니다. 다음 단계에 따라 최상의 결과를 얻으십시오.,إذا كنت ترغب في تغيير صوتك ، فإن هذا التطبيق موجود هنا لمساعدتك في تحقيق أهدافك. اتبع هذه الخطوات للحصول على أفضل النتائج:,"यदि आप अपनी आवाज बदलना चाहते हैं, तो यह ऐप यहां आपके लक्ष्यों को प्राप्त करने में मदद करने के लिए है। सर्वोत्तम परिणाम प्राप्त करने के लिए इन चरणों का पालन करें:",আপনি যদি আপনার ভয়েস পরিবর্তন করতে চান তবে এই অ্যাপ্লিকেশনটি আপনাকে আপনার লক্ষ্য অর্জনে সহায়তা করতে এখানে রয়েছে। সেরা ফলাফল পেতে এই পদক্ষেপগুলি অনুসরণ করুন:,"Jika Anda ingin mengubah suara Anda, aplikasi ini ada di sini untuk membantu Anda mencapai tujuan Anda. Ikuti langkah -langkah ini untuk mendapatkan hasil terbaik:",اگر آپ اپنی آواز کو تبدیل کرنا چاہتے ہیں تو ، یہ ایپ آپ کو اپنے اہداف کے حصول میں مدد کرنے کے لئے حاضر ہے۔ بہترین نتائج حاصل کرنے کے لئے ان اقدامات پر عمل کریں:,"Nếu bạn muốn thay đổi giọng nói của mình, ứng dụng này ở đây để giúp bạn đạt được mục tiêu của mình. Thực hiện theo các bước này để có được kết quả tốt nhất:","Sesinizi değiştirmek istiyorsanız, bu uygulama hedeflerinize ulaşmanıza yardımcı olmak için burada. En iyi sonuçları almak için bu adımları izleyin:",اگر می خواهید صدای خود را تغییر دهید ، این برنامه برای کمک به شما در دستیابی به اهداف خود است. این مراحل را دنبال کنید تا بهترین نتیجه را بدست آورید:,"Niba ushaka guhindura ijwi, iyi porogaramu iri hano kugufasha kugera kuntego zawe. Kurikiza izi ntambwe kugirango ubone ibisubizo byiza:","உங்கள் குரலை மாற்ற விரும்பினால், உங்கள் இலக்குகளை அடைய உதவும் வகையில் இந்த பயன்பாடு இங்கே உள்ளது. சிறந்த முடிவுகளைப் பெற இந்த படிகளைப் பின்பற்றவும்:"
Step 1: Choose Your Scenario,Paso 1: Elija su escenario,,Крок 1: Виберіть свій сценарій,Шаг 1: Выберите свой сценарий,Schritt 1: Wählen Sie Ihr Szenario,Passaggio 1: scegli il tuo scenario,Étape 1: Choisissez votre scénario,Etapa 1: Escolha seu cenário,步骤1：选择您的方案,ขั้นตอนที่ 1: เลือกสถานการณ์ของคุณ,ステップ1：シナリオを選択します,1 단계 : 시나리오를 선택하십시오,الخطوة 1: اختر السيناريو الخاص بك,चरण 1: अपना परिदृश्य चुनें,পদক্ষেপ 1: আপনার দৃশ্য চয়ন করুন,Langkah 1: Pilih skenario Anda,مرحلہ 1: اپنا منظر نامہ منتخب کریں,Bước 1: Chọn kịch bản của bạn,1. Adım: Senaryonuzu Seçin,مرحله 1: سناریوی خود را انتخاب کنید,Intambwe ya 1: Hitamo Scenario yawe,படி 1: உங்கள் காட்சியைத் தேர்வுசெய்க
